Ticker,Loss
NI,1880
PG,1885
SBAC,1889
PGR,1891
PEP,1899
MRK,1910
PNW,1917
VRTX,1919
JKHY,1924
LMT,1930
XEL,1931
LNT,1940
K,1947
WEC,1960
