Ticker,Recent,1M,3M,6M,12M
HFC,31.75,26.08,17.23,27.74,45.98
HIG,49.61,47.94,37.35,41.44,58.52
HII,176.13,168.54,141.46,175.88,264.34
HLT,112.14,110.18,84.02,77.39,110.01
HOLX,82.98,71.75,69.69,64.0,54.65
HON,203.57,210.95,161.16,154.58,175.67
HPE,14.38,11.68,8.37,9.71,14.42
HPQ,27.49,24.32,17.35,17.08,21.43
HRL,48.24,46.44,48.62,50.84,47.32
HSIC,69.46,65.84,61.98,68.71,70.45
HST,14.9,14.6,10.45,11.02,16.77
HSY,151.38,150.53,138.2,145.81,151.15
HUM,380.64,406.11,413.25,396.4,351.57
HWM,28.28,28.36,16.68,15.27,31.15
IBM,120.8,124.34,106.65,125.32,137.69
ICE,111.07,113.15,93.77,94.3,98.91
IDXX,544.08,496.96,422.89,366.91,280.8
IEX,199.87,196.63,172.57,166.6,172.14
IFF,134.06,111.26,101.44,128.24,135.05
ILMN,504.76,364.09,309.69,385.28,313.3
INCY,84.33,86.86,86.99,98.04,74.99
INFO,93.59,88.52,79.67,80.52,79.79
INTC,61.81,48.75,44.25,48.07,66.33
INTU,413.99,375.55,318.51,302.18,285.92
IP,49.18,49.64,43.0,36.75,43.37
IPG,24.63,23.46,17.83,18.91,23.02
IPGP,252.89,224.29,185.39,181.5,130.07
IQV,192.66,177.52,155.71,160.06,158.5
IR,43.92,45.24,35.24,32.16,36.1
IRM,33.17,29.29,26.35,28.26,31.7
ISRG,807.81,815.3,687.8,695.79,571.41
IT,182.93,158.55,117.45,126.74,162.14
ITW,200.98,202.17,192.67,187.49,175.81
IVZ,22.67,17.34,13.33,10.6,17.63
J,114.9,107.49,93.2,86.72,94.78
JBHT,148.32,135.44,123.58,130.21,111.93
JCI,53.58,46.42,41.14,37.99,40.49
JKHY,145.64,158.75,149.57,180.75,149.6
JNJ,166.58,156.05,138.36,146.54,150.54
JNPR,25.25,22.2,20.48,24.99,22.76
JPM,141.25,125.36,96.54,99.68,134.23
K,57.38,61.53,63.49,70.94,68.43
KEY,19.07,16.25,12.4,12.56,18.88
KEYS,153.48,131.24,104.3,96.21,95.66
KHC,35.39,34.67,29.22,35.57,29.62
KIM,18.03,14.8,10.22,11.33,20.06
KLAC,331.81,260.15,190.55,195.13,171.72
KMB,132.13,133.13,132.99,152.04,143.2
KMI,14.84,13.57,11.83,14.53,21.19
KMX,125.1,94.62,87.88,98.68,98.5
KO,50.69,54.44,47.96,48.02,57.01
KR,33.95,31.55,32.16,35.11,27.45
KSU,209.31,201.37,173.26,158.76,169.7
L,48.62,44.42,33.26,37.37,51.67
LB,47.22,38.03,32.27,25.88,23.22
LDOS,107.8,103.98,79.34,91.97,101.83
LEG,42.35,44.25,40.63,39.4,49.36
LEN,92.58,78.03,72.33,72.68,67.78
LH,238.26,201.51,204.0,194.61,179.98
LHX,185.92,187.65,161.32,173.0,223.57
LIN,252.68,261.77,216.91,244.71,208.23
LKQ,36.92,35.37,29.77,28.38,33.49
LLY,207.29,167.01,131.31,161.75,139.92
LMT,337.73,354.16,350.86,387.3,433.84
LNC,52.35,49.58,32.71,38.37,55.07
LNT,48.29,50.76,55.52,54.01,59.08
LOW,177.16,160.56,161.42,148.71,120.42
LRCX,586.16,484.45,338.9,360.83,298.22
LUMN,11.78,9.72,8.71,9.84,13.83
LUV,51.34,46.41,38.14,31.79,56.89
LVS,56.02,58.74,46.86,44.32,64.7
LW,77.16,77.36,63.31,59.81,92.05
LYB,96.14,91.07,69.33,67.98,83.85
LYV,84.17,74.57,49.4,46.94,70.57
MA,341.0,355.55,291.38,309.3,320.32
MAA,138.14,125.0,112.43,113.92,136.58
MAR,129.48,130.47,89.97,87.14,142.61
MAS,54.95,54.77,53.77,56.34,48.0
MCD,213.9,211.56,214.69,196.21,214.44
MCHP,159.55,136.79,102.54,102.69,102.46
MCK,182.24,173.42,144.1,155.7,149.34
MCO,278.67,285.51,261.86,291.36,260.67
MDLZ,55.19,58.0,53.15,56.79,54.56
MDT,119.74,115.64,102.59,98.72,118.37
MET,55.67,46.4,36.6,38.68,50.49
MGM,35.93,31.19,20.1,16.25,31.27
